id,category,name,vendor,vendor_site,material,capacity_ml,finish,price_krw,moq,lead_time_days,note
PKG-0026,병,알루미늄 캔 용기 100mL,펌텍코리아,pumtech.com,Aluminum,100,메탈릭,1420,3000,30,알루미늄캔 라인 참고
PKG-0027,병,진공 스프레이 용기 100mL,펌텍코리아,pumtech.com,PET,100,투명,540,8000,19,진공용기 라인 참고
PKG-0028,자,크림 자 50mL 사출,태성산업,tsgcoltd.com,PP,50,유광,430,10000,15,사출 화장품용기 라인
PKG-0029,자,크림 자 100mL 증착,태성산업,tsgcoltd.com,PP,100,메탈릭,590,8000,18,증착 후가공 라인 참고
PKG-0030,병,토너 병 200mL 코팅,태성산업,tsgcoltd.com,PET,200,유광,410,8000,16,UV코팅 후가공 참고
PKG-0031,병,에센스 병 50mL,태성산업,tsgcoltd.com,PET,50,투명,300,10000,13,
PKG-0032,자,프리몰드 크림 자 30mL,코디,kodi.co.kr,PP,30,유광,380,10000,12,이노코스텍 프리몰드 라인 참고
PKG-0033,자,프리몰드 크림 자 50mL,코디,kodi.co.kr,PP,50,무광,450,10000,13,
PKG-0034,병,프리몰드 스킨 병 130mL,코디,kodi.co.kr,PET,130,투명,370,8000,12,
PKG-0035,병,유리 크림 병 50g,퍼시픽글라스,pacificglas.com,Glass,50,투명,980,5000,26,초자(유리)용기 전문 라인
PKG-0036,병,유리 크림 병 30g,퍼시픽글라스,pacificglas.com,Glass,30,프로스트,890,5000,26,
PKG-0037,병,유리 에센스 병 100mL,퍼시픽글라스,pacificglas.com,Glass,100,투명,1050,5000,27,
PKG-0038,자,유리 크림 자 50g 화이트,채운패키지,chaeun.co.kr,Glass,50,유광,1120,5000,28,
PKG-0039,자,유리 크림 자 100g,채운패키지,chaeun.co.kr,Glass,100,투명,1380,4000,29,
PKG-0040,병,유리 스프레이 향수병 50mL,채운패키지,chaeun.co.kr,Glass,50,투명,1240,4000,30,
PKG-0041,펌프,블로우 펌프 용기 150mL,정민(에이코스팩),acospack.com,PP,150,유광,610,8000,17,블로우/사출 펌프 라인
PKG-0042,펌프,블로우 펌프 용기 250mL,정민(에이코스팩),acospack.com,PP,250,무광,690,6000,18,
PKG-0043,병,블로우 로션 병 200mL,정민(에이코스팩),acospack.com,PET,200,투명,420,8000,15,
PKG-0044,자,증착 크림 자 30mL,이화PNC,ehwapnc.com,PP,30,메탈릭,540,10000,19,진공증착 후가공 전문 라인
PKG-0045,자,코팅 크림 자 50mL,이화PNC,ehwapnc.com,PP,50,유광,590,10000,19,우레탄코팅 후가공 참고
PKG-0046,병,초자코팅 스킨 병 150mL,이화PNC,ehwapnc.com,Glass,150,유광,1180,5000,24,초자코팅 라인 참고
PKG-0047,병,플라스틱 크림 병 100mL,케미코스,chemicos.net,PP,100,유광,400,8000,14,플라스틱+유리 겸업 벤더
PKG-0048,병,유리 크림 병 100mL,케미코스,chemicos.net,Glass,100,투명,1020,5000,25,
PKG-0049,튜브,클렌징 폼 튜브 120mL,케미코스,chemicos.net,PP,120,무광,320,15000,11,
PKG-0050,드롭퍼,앰플 드롭퍼 20mL,케미코스,chemicos.net,PCTG,20,무광,610,8000,16,
